YEAR,TERM,TERM_TEXT,CRN,SUB,NUM,SECT,SEQ,SECTION_TITLE,CREDITS,DAYS,TIMES,BLDG,ROOM,PROF,NOTES,MAX_ENROLL,DIST,INTERDISCIPLINARY_COURSE1,INTERDISCIPLINARY_COURSE2,INTERDISCIPLINARY_COURSE3,INTERDISCIPLINARY_COURSE4
2016,201601,Fall 2016,10102,BIO,111,D,1,"Molecules, Genes & Cells",1, M  W  F ,1030-1120am,WALL,210,Wessner D,B1,16,NSRQ,,,,
2016,201601,Fall 2016,10102,BIO,111,D,1,"Molecules, Genes & Cells",1, M  W  F ,1030-1120am,WALL,210,Wessner D,B1,16,NSRQ,,,,
2016,201601,Fall 2016,10102,BIO,111,D,2,"Molecules, Genes & Cells",,   W   ,0130-0420pm,WATSON,147,Wessner D,B1,16,NSRQ,,,,
2016,201601,Fall 2016,10102,BIO,111,D,2,"Molecules, Genes & Cells",,   W   ,0130-0420pm,WATSON,147,Wessner D,B1,16,NSRQ,,,,
2016,201601,Fall 2016,10103,BIO,112,A,1,"Organisms,Evolution,Ecosystems",1, M     ,0130-0420pm,WATSON,119,Barsoum M,B2,16,NSRQ,,,,
2016,201601,Fall 2016,10103,BIO,112,A,1,"Organisms,Evolution,Ecosystems",1, M     ,0130-0420pm,WATSON,119,Barsoum M,B2,16,NSRQ,,,,
2016,201601,Fall 2016,10103,BIO,112,A,2,"Organisms,Evolution,Ecosystems",,  T  R  ,0140-0255pm,WALL,243,Barsoum M,B2,16,NSRQ,,,,
2016,201601,Fall 2016,10103,BIO,112,A,2,"Organisms,Evolution,Ecosystems",,  T  R  ,0140-0255pm,WALL,243,Barsoum M,B2,16,NSRQ,,,,
2016,201601,Fall 2016,10104,BIO,112,B,1,"Organisms,Evolution,Ecosystems",1,  T    ,0815-1055am,WATSON,119,Barsoum M,B2,16,NSRQ,,,,
2016,201601,Fall 2016,10104,BIO,112,B,1,"Organisms,Evolution,Ecosystems",1,  T    ,0815-1055am,WATSON,119,Barsoum M,B2,16,NSRQ,,,,
2016,201601,Fall 2016,10104,BIO,112,B,2,"Organisms,Evolution,Ecosystems",,  T  R  ,0140-0255pm,WALL,243,Barsoum M,B2,16,NSRQ,,,,
2016,201601,Fall 2016,10104,BIO,112,B,2,"Organisms,Evolution,Ecosystems",,  T  R  ,0140-0255pm,WALL,243,Barsoum M,B2,16,NSRQ,,,,
2016,201601,Fall 2016,14138,BIO,112,C,1,"Organisms,Evolution,Ecosystems",1,  T  R  ,0815-0930am,DANA,146,Stanback M,B2,16,NSRQ,,,,
